cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
54	2009.60000000	100.00000000	mua	54.18172455	11	120.00000000	0.05107697	mua	129	0
55	1350.50000000	100.00000000	mua	46.10065460	12	140.00000000	0.06255939	good	158	0
56	1516.10000000	100.00000000	mua	65.60226440	13	140.00000000	1.11339880	good	2812	0
57	4101.50000000	100.00000000	mua	79.34434509	12	140.00000000	0.04909724	mua	124	0
58	2507.00000000	100.00000000	mua	73.83407593	12	140.00000000	0.08077289	mua	204	0
59	1538.20000000	100.00000000	mua	65.28251648	10	120.00000000	0.68656953	good	1734	0
60	1829.20000000	100.00000000	mua	61.32560730	12	140.00000000	0.12155527	mua	307	0
61	1480.90000000	100.00000000	mua	53.60567474	9	100.00000000	3.04165347	mua	7682	0
62	2467.10000000	100.00000000	mua	61.31771851	9	100.00000000	0.05741210	mua	145	0
63	1506.70000000	100.00000000	mua	44.79731750	15	160.00000000	0.04355401	mua	110	0
64	2121.50000000	100.00000000	mua	66.99240112	8	100.00000000	0.04315806	mua	109	0
65	1501.10000000	100.00000000	mua	61.66652679	9	100.00000000	1.28840672	good	3254	0
68	5044.80000000	100.00000000	mua	71.56106567	12	140.00000000	0.15243902	mua	385	0
73	4341.00000000	100.00000000	mua	93.27026367	14	160.00000000	0.08987963	mua	227	0
74	5962.30000000	100.00000000	mua	112.50183105	14	160.00000000	0.15045930	mua	380	0
76	2371.30000000	100.00000000	mua	56.56502533	12	140.00000000	0.80733291	mua	2039	0
78	3572.80000000	100.00000000	mua	81.35979462	12	140.00000000	0.06295534	mua	159	0
85	2435.60000000	100.00000000	mua	81.50642395	13	140.00000000	0.83504910	good	2109	0
88	3350.80000000	100.00000000	mua	94.97134399	12	140.00000000	0.14491606	mua	366	0
89	3225.90000000	100.00000000	mua	91.70249939	12	140.00000000	0.34130504	mua	862	0
90	2664.70000000	100.00000000	mua	76.34651184	12	140.00000000	0.03999050	mua	101	0
94	3475.20000000	100.00000000	mua	100.97453308	15	160.00000000	0.05424454	mua	137	0
95	2765.70000000	100.00000000	mua	77.41921997	12	140.00000000	0.10096611	mua	255	0
96	2078.00000000	100.00000000	mua	65.79653931	16	180.00000000	0.08196072	mua	207	0
98	2062.30000000	100.00000000	mua	59.99962997	16	180.00000000	0.05305670	mua	134	0
99	2297.50000000	100.00000000	mua	71.80660248	16	180.00000000	0.04988914	mua	126	0
100	1605.30000000	100.00000000	mua	64.90343475	13	140.00000000	6.85698448	good	17318	0
101	2574.20000000	100.00000000	mua	68.94718933	12	140.00000000	0.07958505	good	201	0
103	2144.90000000	100.00000000	mua	69.26523590	10	120.00000000	0.34882800	good	881	0
104	3373.10000000	100.00000000	mua	156.00239563	17	180.00000000	0.95541653	good	2413	0
105	2400.40000000	100.00000000	mua	75.54230499	15	160.00000000	0.40267659	good	1017	0
106	2475.40000000	100.00000000	mua	72.29637146	14	160.00000000	0.04078239	mua	103	0
107	1584.30000000	100.00000000	mua	70.70021057	14	160.00000000	1.36284447	good	3442	0
108	2074.00000000	100.00000000	mua	57.64117432	10	120.00000000	0.17184035	good	434	0
109	2371.90000000	100.00000000	mua	72.79946136	13	140.00000000	0.11046880	mua	279	0
110	2109.10000000	100.00000000	mua	58.77685928	12	140.00000000	0.04513779	mua	114	0
111	1326.20000000	100.00000000	mua	46.77712250	10	120.00000000	0.06849857	mua	173	0
112	1689.10000000	100.00000000	mua	68.42154694	10	120.00000000	1.21080139	good	3058	0
117	4183.40000000	100.00000000	mua	110.40979004	19	200.00000000	0.09898638	good	250	0
118	4277.20000000	100.00000000	mua	140.75445557	19	200.00000000	2.35785556	good	5955	0
119	2401.50000000	100.00000000	good	70.17768860	22	240.00000000	0.53531834	good	1352	0
120	2797.50000000	100.00000000	mua	85.57315063	18	200.00000000	2.29490022	good	5796	0
121	2573.30000000	100.00000000	mua	76.33039856	18	200.00000000	1.43451061	good	3623	0
123	3137.70000000	100.00000000	mua	96.43321228	20	220.00000000	0.72537219	good	1832	0
125	2396.60000000	100.00000000	mua	104.86750793	18	200.00000000	1.90885334	good	4821	0
130	3000.30000000	100.00000000	mua	104.42300415	20	220.00000000	0.14214444	good	359	0
133	2968.60000000	100.00000000	mua	109.07322693	20	220.00000000	0.10809313	mua	273	0
134	1910.00000000	100.00000000	mua	66.74124146	20	220.00000000	0.04474184	mua	113	0
136	4517.70000000	100.00000000	mua	129.67008972	24	260.00000000	0.05226481	mua	132	0
137	3125.10000000	100.00000000	good	146.36376953	24	260.00000000	39.91962306	good	100821	0
138	5466.00000000	100.00000000	good	101.56259155	22	240.00000000	1.77898321	good	4493	0
139	5444.70000000	100.00000000	good	97.01510620	23	240.00000000	2.18561926	good	5520	0
140	2938.60000000	100.00000000	mua	94.08506012	20	220.00000000	0.56105480	good	1417	0
141	4493.10000000	100.00000000	mua	103.41001892	21	220.00000000	0.09661071	good	244	0
143	5408.60000000	100.00000000	mua	121.69032288	22	240.00000000	0.39911308	good	1008	0
144	2675.00000000	100.00000000	mua	83.56683350	20	220.00000000	1.76908457	good	4468	0
145	3015.50000000	100.00000000	mua	83.64735413	22	240.00000000	0.12076338	good	305	0
148	3526.60000000	100.00000000	mua	114.30796051	25	260.00000000	0.90711118	good	2291	0
150	2099.00000000	100.00000000	good	72.13153839	22	240.00000000	0.67944251	good	1716	0
153	2837.50000000	100.00000000	good	104.68527985	22	240.00000000	0.48503326	good	1225	0
158	2260.90000000	100.00000000	mua	90.13432312	25	260.00000000	0.54600887	good	1379	0
161	2123.80000000	100.00000000	mua	69.39753723	22	240.00000000	0.18649034	mua	471	0
162	1206.60000000	100.00000000	mua	52.52975845	23	240.00000000	7.03476402	good	17767	0
165	2655.00000000	100.00000000	mua	72.26702118	22	240.00000000	0.05305670	good	134	0
167	3814.70000000	100.00000000	good	78.37089539	24	260.00000000	1.04371239	good	2636	0
169	3986.10000000	100.00000000	good	120.90808105	27	280.00000000	3.51243269	mua	8871	0
182	2066.90000000	100.00000000	mua	72.94676971	24	260.00000000	2.25490972	good	5695	0
183	3725.50000000	100.00000000	mua	91.46607208	26	280.00000000	0.04949319	mua	125	0
186	2730.00000000	100.00000000	good	151.68455505	26	280.00000000	4.04933481	good	10227	0
187	2951.10000000	100.00000000	good	102.93169403	27	280.00000000	0.70121951	good	1771	0
189	3491.90000000	100.00000000	mua	85.60450745	28	300.00000000	0.13145391	mua	332	0
190	1570.80000000	100.00000000	mua	63.87738037	26	280.00000000	18.77929997	mua	47429	0
191	2777.20000000	100.00000000	mua	91.30097961	30	320.00000000	0.37139690	good	938	0
199	2978.10000000	100.00000000	mua	69.41326904	33	340.00000000	0.30566994	good	772	0
206	1957.50000000	100.00000000	mua	64.51435852	32	340.00000000	0.22529300	mua	569	0
207	2488.60000000	100.00000000	mua	95.80718231	30	320.00000000	0.04988914	mua	126	0
214	1728.10000000	100.00000000	mua	65.85841370	31	320.00000000	0.16312955	good	412	0
218	1287.40000000	100.00000000	mua	48.07365417	30	320.00000000	0.07602154	good	192	0
219	1550.30000000	100.00000000	mua	66.07861328	33	340.00000000	0.06612290	mua	167	0
220	2474.30000000	100.00000000	mua	85.43420410	31	320.00000000	0.04632563	mua	117	0
222	1685.70000000	100.00000000	mua	71.29694366	30	320.00000000	1.24920811	mua	3155	0
225	5122.80000000	100.00000000	good	102.08201599	34	360.00000000	0.66162496	good	1671	0
227	2032.20000000	100.00000000	good	80.14148712	34	360.00000000	2.55147292	good	6444	0
228	3624.80000000	100.00000000	good	92.21994019	35	360.00000000	0.61609123	mua	1556	0
229	2398.90000000	100.00000000	good	85.35455322	34	360.00000000	0.42484954	good	1073	0
232	1506.50000000	100.00000000	mua	63.17935944	35	360.00000000	4.13406715	good	10441	0
233	2110.90000000	100.00000000	mua	65.03950500	34	360.00000000	0.58401964	good	1475	0
235	2625.90000000	100.00000000	good	88.41744232	32	340.00000000	0.27557808	mua	696	0
236	2186.40000000	100.00000000	mua	80.57527924	34	360.00000000	0.09304720	mua	235	0
237	1763.60000000	100.00000000	good	66.76638031	34	360.00000000	0.18015521	good	455	0
239	2236.70000000	100.00000000	mua	80.21968842	31	320.00000000	0.05384859	good	136	0
240	2127.60000000	100.00000000	good	83.36733246	34	360.00000000	0.10413367	mua	263	0
241	1797.40000000	100.00000000	mua	67.14196014	31	320.00000000	0.06612290	good	167	0
242	1267.50000000	100.00000000	mua	59.06598663	34	360.00000000	3.06699398	good	7746	0
243	2032.30000000	100.00000000	mua	74.54503632	31	320.00000000	0.05662021	mua	143	0
245	2297.00000000	100.00000000	mua	86.94606018	32	340.00000000	0.08592018	mua	217	0
247	2607.80000000	100.00000000	mua	125.45544434	32	340.00000000	2.28143807	good	5762	0
248	1909.00000000	100.00000000	good	79.07835388	34	360.00000000	0.44187520	good	1116	0
249	1994.40000000	100.00000000	mua	65.52826691	32	340.00000000	0.16312955	good	412	0
250	1957.80000000	100.00000000	mua	69.99163055	35	360.00000000	0.05939183	good	150	0
251	1680.00000000	100.00000000	mua	69.79872894	30	320.00000000	0.10928096	good	276	0
252	1957.10000000	100.00000000	mua	79.82740784	34	360.00000000	0.04157428	mua	105	0
254	2820.10000000	100.00000000	good	139.15716553	35	360.00000000	1.01876782	good	2573	0
255	1499.60000000	100.00000000	mua	66.95272827	34	360.00000000	0.11165664	mua	282	0
260	1785.70000000	100.00000000	mua	74.73585510	40	420.00000000	2.66748495	good	6737	0
262	2008.30000000	100.00000000	mua	70.95373535	36	380.00000000	0.18926196	good	478	0
